,0,1,2,3
"[5.0, 5.0, 35.0, 35.0]",7.420591959409271e-09,8.962187574850502e-07,4.963851613052113e-10,1.7868497538762236e-08
"[45.0, 5.0, 75.0, 35.0]",0.0,1.9463420357882025e-07,-0.1312541872310217,0.0
"[45.0, 45.0, 75.0, 75.0]",8.243720156247052e-10,1.785358852157029e-05,-0.21432185919278104,3.0435012345500922e-09
"[45.0, 85.0, 75.0, 115.0]",5.962549071808054e-08,7.758473708004574e-05,-0.1312541872310217,2.0616023622406963e-10
"[5.0, 85.0, 35.0, 115.0]",2.4358906539615537e-08,0.0,0.0,0.0
"[5.0, 125.0, 35.0, 155.0]",4.9660182378997214e-11,0.0,2.2789727464498547e-06,0.0
terminal,0.0,0.0,0.0,0.0
"[5.0, 45.0, 35.0, 75.0]",1.0475173222471382e-08,4.396025570950933e-11,4.045532768305483e-06,4.763952034473449e-10
"[45.0, 125.0, 75.0, 155.0]",1.61962143887149e-08,7.109742766014266e-10,0.0003259304812274942,1.4532338815166487e-08
"[45.0, 165.0, 75.0, 195.0]",1.817079109100587e-06,0.0,0.0,0.0
"[85.0, 165.0, 115.0, 195.0]",1.2867316519343515e-05,0.0,-0.06793465209301,0.0
"[5.0, 165.0, 35.0, 195.0]",8.924043473019387e-14,0.0,0.0,0.0
"[85.0, 125.0, 115.0, 155.0]",-0.12247897700103201,8.380710157785128e-08,0.0012601396838739802,2.7551166923577705e-07
"[125.0, 125.0, 155.0, 155.0]",0.004410981943516453,-0.058519850599,-0.10466174574128355,1.090952193056501e-05
"[125.0, 85.0, 155.0, 115.0]",6.91749153816367e-06,3.198783329595893e-05,0.014360707690105761,-0.058519850599
"[165.0, 85.0, 195.0, 115.0]",0.041784672529161834,-0.09561792499119551,-0.0490099501,0.00014807381600769162
"[165.0, 45.0, 195.0, 75.0]",2.175321036492514e-05,0.0006353294810052623,0.10609753308272357,3.0425468316222117e-05
"[205.0, 45.0, 235.0, 75.0]",0.00013235621039323179,-0.058519850599,0.2303051993753864,0.0034901725985547905
"[165.0, 5.0, 195.0, 35.0]",2.7882784097570934e-07,0.0011766938587377733,0.0,0.0
"[205.0, 5.0, 235.0, 35.0]",0.0,0.00705517467809777,0.0,0.0
"[125.0, 5.0, 155.0, 35.0]",0.0,9.95814928753438e-09,2.7882784097570934e-07,-0.01
"[125.0, 45.0, 155.0, 75.0]",8.962334358780941e-11,0.0,0.002481882104086524,-0.0490099501
"[245.0, 45.0, 275.0, 75.0]",0.0002670537258909228,0.4293604674308017,0.005635539258680431,0.00852394932225672
"[245.0, 5.0, 275.0, 35.0]",0.0,0.014983123778645926,0.0,0.0
"[245.0, 85.0, 275.0, 115.0]",0.010599924408496733,0.6835799747948379,0.021699093429272388,-0.058519850599
"[245.0, 125.0, 275.0, 155.0]",0.018263481022242053,0.933031997252136,0.03336812074604714,0.0014224250877804758
"[205.0, 125.0, 235.0, 155.0]",-0.01,0.0,0.03809590161436387,-0.01
"[205.0, 165.0, 235.0, 195.0]",0.0,0.0,0.0,0.0
"[165.0, 165.0, 195.0, 195.0]",-0.01,0.0,0.0,0.0
